rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
99,17100,Media & Entertainment,Rupert Murdoch & family,92,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,News Corp Class A,FALSE,D,M,3/11/1931 0:00,Murdoch,Rupert,Chairman and CEO,04-04-2023 05:01,New York,Northeast,1931,3,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
100,16700,Finance & Investments,Vicky Safra & family,70,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,,FALSE,U,F,1/1/1953 0:00,Safra,Vicky,,04-04-2023 05:01,,,1953,1,1,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,,FALSE,D,M,1/1/1951 0:00,Albrecht,Theo,,04-04-2023 05:01,,,1951,1,1,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
103,16300,Healthcare,Li Xiting,72,China,Shenzhen,medical devices,Healthcare,Singapore,,TRUE,D,M,1/1/1951 0:00,Li,Xiting,,04-04-2023 05:01,,,1951,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
104,16200,Fashion & Retail,Stefan Persson,75,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,Hennes & Mauritz Unsponsored ADR,FALSE,D,M,10/4/1947 0:00,Persson,Stefan,Chairman,04-04-2023 05:01,,,1947,10,4,110.51,1.8,"$530,832,908,738 ",67,126.6,82.5,27.9,49.1,10285453,60.128161,18.643501
106,16000,Finance & Investments,Michael Platt,55,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,BlueCrest Capital Management,TRUE,U,M,3/18/1968 0:00,Platt,Michael,Founder ,04-04-2023 05:01,,,1968,3,18,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
107,15900,Food & Beverage,Pang Kang,67,China,Foshan,Soy sauce,Food & Beverage,China,,TRUE,D,M,1/19/1956 0:00,Pang,Kang,,04-04-2023 05:01,,,1956,1,19,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
108,15800,Fashion & Retail,Karl Albrecht Jr. & family,,Germany,,Supermarkets,Fashion & Retail,Germany,,FALSE,Split Family Fortune,M,,Albrecht Jr.,Karl,,04-04-2023 05:01,,,,,,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
112,15600,Healthcare,Dilip Shanghvi,67,India,Mumbai,Pharmaceuticals,Healthcare,India,,TRUE,E,M,10/1/1955 0:00,Shanghvi,Dilip,,04-04-2023 05:01,,,1955,10,1,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
113,15500,Technology,Robert Pera,45,United States,San Jose,Wireless networking,Technology,United States,Ubiquiti,TRUE,U,M,3/10/1978 0:00,Pera,Robert,Chief Executive Officer,04-04-2023 05:01,California,West,1978,3,10,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
114,15300,Fashion & Retail,Radhakishan Damani,68,India,Mumbai,"Retail, investments",Fashion & Retail,India,,TRUE,D,M,1/1/1955 0:00,Damani,Radhakishan,,04-04-2023 05:01,,,1955,1,1,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
115,15200,Automotive,Huang Shilin,56,China,Ningde,Batteries,Automotive,China,,TRUE,D,M,1/1/1967 0:00,Huang,Shilin,,04-04-2023 05:01,,,1967,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
116,14900,Diversified,Dhanin Chearavanont,83,Thailand,Bangkok,Diversified,Diversified,Thailand,,FALSE,U,M,4/19/1939 0:00,Chearavanont,Dhanin,,04-04-2023 05:01,,,1939,4,19,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
118,14800,Food & Beverage,Charoen Sirivadhanabhakdi,78,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,Thailand,,TRUE,U,M,5/2/1944 0:00,Sirivadhanabhakdi,Charoen,,04-04-2023 05:01,,,1944,5,2,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
119,14700,Food & Beverage,Charlene de Carvalho-Heineken & family,68,United Kingdom,London,Heineken,Food & Beverage,Netherlands,,FALSE,D,F,6/30/1954 0:00,de Carvalho-Heineken,Charlene,,04-04-2023 05:01,,,1954,6,30,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
120,14600,Healthcare,Xu Hang,60,China,Shenzhen,Medical devices,Healthcare,Hong Kong,,TRUE,D,M,5/22/1962 0:00,Xu,Hang,,04-04-2023 05:01,,,1962,5,22,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
121,14500,Automotive,Wei Jianjun & family,59,China,Baoding,Automobiles,Automotive,China,,TRUE,D,M,3/1/1964 0:00,Wei,Jianjun,,04-04-2023 05:01,,,1964,3,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
122,14400,Metals & Mining,Alisher Usmanov,69,Uzbekistan,Tashkent,"Steel, telecom, investments",Metals & Mining,Russia,Metalloinvest,TRUE,U,M,9/9/1953 0:00,Usmanov,Alisher,Founder,04-04-2023 05:01,,,1953,9,9,,,"$57,921,286,440 ",10.1,104.2,71.6,14.8,31.6,33580650,41.377491,64.585262
123,14300,Manufacturing,Goh Cheng Liang,95,Singapore,Singapore,Paints,Manufacturing,Singapore,,TRUE,U,M,6/27/1927 0:00,Goh,Cheng Liang,,04-04-2023 05:01,,,1927,6,27,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21,5703569,1.352083,103.819836
124,14200,Diversified,Kumar Birla,55,India,Mumbai,Commodities,Diversified,India,,FALSE,D,M,6/14/1967 0:00,Birla,Kumar,,04-04-2023 05:01,,,1967,6,14,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
126,14100,Real Estate,Kwong Siu-hing,93,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,FALSE,U,F,12/2/1929 0:00,Kwong,Siu-hing,,04-04-2023 05:01,,,1929,12,2,,,,,,,,,,,
127,14000,Diversified,Idan Ofer,67,United Kingdom,London,Shipping,Diversified,Israel,,FALSE,U,M,10/2/1955 0:00,Ofer,Idan,,04-04-2023 05:01,,,1955,10,2,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
128,13900,Healthcare,Chen Bang,57,China,Changsha,Hospitals,Healthcare,China,,TRUE,U,M,9/1/1965 0:00,Chen,Bang,,04-04-2023 05:01,,,1965,9,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
130,13700,Logistics,John Fredriksen,78,United Kingdom,London,Shipping,Logistics,Cyprus,,TRUE,U,M,2/1/1945 0:00,Fredriksen,John,Investor,04-04-2023 05:01,,,1945,2,1,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
133,13300,Sports,Jerry Jones,80,United States,Dallas,Dallas Cowboys,Sports,United States,Dallas Cowboys,TRUE,U,M,10/13/1942 0:00,Jones,Jerry,President and General Manager,04-04-2023 05:01,Texas,South,1942,10,13,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
136,13200,Automotive,Lu Xiangyang,60,China,Guangzhou,"Automobiles, batteries",Automotive,China,,TRUE,D,M,12/28/1962 0:00,Lu,Xiangyang,,04-04-2023 05:01,,,1962,12,28,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
137,13100,Real Estate,Harry Triguboff,90,Australia,Sydney,Real estate,Real Estate,Australia,,TRUE,U,M,3/3/1933 0:00,Triguboff,Harry,,04-04-2023 05:01,,,1933,3,3,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
138,12900,Finance & Investments,Uday Kotak,64,India,Mumbai,Banking,Finance & Investments,India,,TRUE,D,M,3/15/1959 0:00,Kotak,Uday,,04-04-2023 05:01,,,1959,3,15,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
140,12600,Energy,Mikhail Fridman,58,United Kingdom,London,"Oil, banking, telecom",Energy,Russia,,TRUE,U,M,4/21/1964 0:00,Fridman,Mikhail,,04-04-2023 05:01,,,1964,4,21,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
141,12300,Energy,Sarath Ratanavadi,57,Thailand,Bangkok,Energy,Energy,Thailand,,TRUE,U,M,7/12/1965 0:00,Ratanavadi,Sarath,,04-04-2023 05:01,,,1965,7,12,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
142,12200,Metals & Mining,Dang Yanbao,50,China,Yinchuan,Coal,Metals & Mining,China,,TRUE,D,M,2/1/1973 0:00,Dang,Yanbao,,04-04-2023 05:01,,,1973,2,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
144,12100,Automotive,Shahid Khan,72,United States,Naples,Auto parts,Automotive,United States,,TRUE,U,M,7/18/1950 0:00,Khan,Shahid,,04-04-2023 05:01,Florida,South,1950,7,18,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
145,12000,Technology,Laurene Powell Jobs & family,59,United States,Palo Alto,"Apple, Disney",Technology,United States,Emerson Collective,FALSE,D,F,11/6/1963 0:00,Powell Jobs,Laurene,"Investor, Philanthropist",04-04-2023 05:01,California,West,1963,11,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
146,11800,Diversified,Robert Kuok,99,Hong Kong,Hong Kong,"Palm oil, shipping, property",Diversified,Malaysia,,TRUE,U,M,10/6/1923 0:00,Kuok,Robert,,04-04-2023 05:01,,,1923,10,6,,,,,,,,,,,
147,11600,Real Estate,Stephen Ross,82,United States,New York,Real estate,Real Estate,United States,,TRUE,U,M,5/10/1940 0:00,Ross,Stephen,,04-04-2023 05:01,New York,Northeast,1940,5,10,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
148,11500,Technology,Pavel Durov,38,United Arab Emirates,Dubai,Messaging app,Technology,United Arab Emirates,,TRUE,D,M,10/10/1984 0:00,Durov,Pavel,,04-04-2023 05:01,,,1984,10,10,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
151,11400,Food & Beverage,Liu Hanyuan,59,China,Chengdu,Agribusiness,Food & Beverage,China,,TRUE,D,M,1/1/1964 0:00,Liu,Hanyuan,,04-04-2023 05:01,,,1964,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
153,11300,Finance & Investments,Israel Englander,74,United States,New York,Hedge funds,Finance & Investments,United States,"Millennium Management, L.L.C.",TRUE,D,M,9/30/1948 0:00,Englander,Israel,Founder,04-04-2023 05:01,New York,Northeast,1948,9,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
157,11100,Fashion & Retail,Giorgio Armani,88,Italy,Milan,Luxury goods,Fashion & Retail,Italy,,TRUE,U,M,7/11/1934 0:00,Armani,Giorgio,,04-04-2023 05:01,,,1934,7,11,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
159,11000,Finance & Investments,Gong Hongjia & family,58,Hong Kong,Hong Kong,Video surveillance,Finance & Investments,Hong Kong,,TRUE,D,M,1/1/1965 0:00,Gong,Hongjia,,04-04-2023 05:01,,,1965,1,1,,,,,,,,,,,
161,10900,Finance & Investments,Philip Anschutz,83,United States,Denver,"Energy, sports, entertainment",Finance & Investments,United States,,FALSE,E,M,12/28/1939 0:00,Anschutz,Philip,,04-04-2023 05:01,Colorado,West,1939,12,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
164,10700,Media & Entertainment,Donald Newhouse,93,United States,New York,Media,Media & Entertainment,United States,,FALSE,D,M,8/5/1929 0:00,Newhouse,Donald,,04-04-2023 05:01,New York,Northeast,1929,8,5,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
165,10600,Sports,Robert Kraft,81,United States,Brookline,"Manufacturing, New England Patriots",Sports,United States,The Kraft Group,TRUE,U,M,6/5/1941 0:00,Kraft,Robert,Chairman & CEO,04-04-2023 05:01,Massachusetts,Northeast,1941,6,5,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
167,10500,Finance & Investments,Suleiman Kerimov & family,57,Russia,Moscow,Gold,Finance & Investments,Russia,,TRUE,U,M,3/12/1966 0:00,Kerimov & family,Suleiman,,04-04-2023 05:01,,,1966,3,12,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
170,10300,Finance & Investments,Andrew Beal,70,United States,Dallas,"Banks, real estate",Finance & Investments,United States,,TRUE,U,M,11/29/1952 0:00,Beal,Andrew,,04-04-2023 05:01,Texas,South,1952,11,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
171,10200,Technology,Mike Cannon-Brookes,43,Australia,Sydney,Software,Technology,Australia,,TRUE,D,M,11/17/1979 0:00,Cannon-Brookes,Mike,,04-04-2023 05:01,,,1979,11,17,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
179,10100,Technology,Scott Farquhar,43,Australia,Sydney,Software,Technology,Australia,,TRUE,D,M,12/17/1979 0:00,Farquhar,Scott,,04-04-2023 05:01,,,1979,12,17,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
182,10000,Energy,Autry Stephens,85,United States,Midland,Oil,Energy,United States,,TRUE,U,M,3/8/1938 0:00,Stephens,Autry,,04-04-2023 05:01,Texas,South,1938,3,8,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
183,9900,Service,Liu Yongxing,74,China,Shanghai,Diversified,Service,China,East Hope Group,TRUE,D,M,6/1/1948 0:00,Liu,Yongxing,Chairman,04-04-2023 05:01,,,1948,6,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
184,9800,Diversified,Vinod Adani,74,United Arab Emirates,Dubai,"Infrastructure, commodities",Diversified,Cyprus,,TRUE,Split Family Fortune,M,1/10/1949 0:00,Adani,Vinod,,04-04-2023 05:01,,,1949,1,10,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
190,9700,Manufacturing,Andrei Guriev & family,63,Russia,Moscow,Fertilizers,Manufacturing,Russia,,TRUE,U,M,3/24/1960 0:00,Guriev & family,Andrei,,04-04-2023 05:01,,,1960,3,24,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
195,9600,Technology,Rick Cohen & family,70,United States,Keene,Warehouse automation,Technology,United States,C&S Wholesale Grocers,FALSE,N,M,7/25/1952 0:00,Cohen,Rick,Entrepreneur,04-04-2023 05:01,New Hampshire,Northeast,1952,7,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
202,9500,Finance & Investments,Vincent Bolloré & family,71,France,Paris,Investments,Finance & Investments,France,,FALSE,U,M,4/1/1952 0:00,Bolloré,Vincent,,04-04-2023 05:01,,,1952,4,1,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
204,9400,Healthcare,Ernesto Bertarelli,57,Switzerland,Gstaad,"Biotech, investments",Healthcare,Switzerland,,FALSE,U,M,9/22/1965 0:00,Bertarelli,Ernesto,,04-04-2023 05:01,,,1965,9,22,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
206,9300,Technology,Brian Chesky,41,United States,San Francisco,Airbnb,Technology,United States,"Airbnb, Inc.",TRUE,D,M,8/29/1981 0:00,Chesky,Brian,CEO and Cofounder,04-04-2023 05:01,California,West,1981,8,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
208,9200,Diversified,Roman Abramovich & family,56,Russia,Moscow,"Steel, investments",Diversified,Russia,,TRUE,U,M,10/24/1966 0:00,Abramovich,Roman,,04-04-2023 05:01,,,1966,10,24,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
215,9000,Technology,David Cheriton,72,United States,Palo Alto,Google,Technology,Canada,Stanford University,TRUE,D,M,3/29/1951 0:00,Cheriton,David,Professor,04-04-2023 05:01,California,West,1951,3,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
220,8900,Food & Beverage,Finn Rausing,68,United Kingdom,London,Packaging,Food & Beverage,Sweden,,FALSE,D,M,1/1/1955 0:00,Rausing,Finn,,04-04-2023 05:01,,,1955,1,1,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
223,8800,Fashion & Retail,Tatyana Bakalchuk,47,Russia,Moscow region,Ecommerce,Fashion & Retail,Russia,,TRUE,U,F,10/16/1975 0:00,Bakalchuk,Tatyana,,04-04-2023 05:01,,,1975,10,16,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
230,8700,Manufacturing,Chen Jianhua,52,China,Wujiang,Chemicals,Manufacturing,China,,TRUE,U,M,1/1/1971 0:00,Chen,Jianhua,,04-04-2023 05:01,,,1971,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
232,8600,Finance & Investments,Leon Black,71,United States,New York,Private equity,Finance & Investments,United States,,TRUE,D,M,7/31/1951 0:00,Black,Leon,,04-04-2023 05:01,New York,Northeast,1951,7,31,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
239,8500,Finance & Investments,"Chase Coleman, III.",47,United States,New York,Investments,Finance & Investments,United States,Tiger Global Management,TRUE,D,M,6/21/1975 0:00,Coleman,Chase,Investor,04-04-2023 05:01,New York,Northeast,1975,6,21,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
242,8400,Media & Entertainment,Jim Kennedy,75,United States,Atlanta,"Media, automotive",Media & Entertainment,United States,Cox Enterprises,FALSE,U,M,11/29/1947 0:00,Kennedy,Jim,Chairman Emeritus,04-04-2023 05:01,Georgia,South,1947,11,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
246,8300,Fashion & Retail,John Morris,75,United States,Springfield,Sporting goods retail,Fashion & Retail,United States,,TRUE,U,M,3/19/1948 0:00,Morris,John,,04-04-2023 05:01,Missouri,Midwest,1948,3,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
249,8200,Real Estate,Francis Choi,75,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,TRUE,U,M,9/18/1947 0:00,Choi,Francis,,04-04-2023 05:01,,,1947,9,18,,,,,,,,,,,
256,8100,Diversified,Laurent Dassault,69,France,Paris,Diversified,Diversified,France,,FALSE,D,M,7/7/1953 0:00,Dassault,Laurent,,04-04-2023 05:01,,,1953,7,7,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
261,8000,Technology,Nathan Blecharczyk,39,United States,San Francisco,Airbnb,Technology,United States,,TRUE,D,M,6/11/1983 0:00,Blecharczyk,Nathan,,04-04-2023 05:01,California,West,1983,6,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
268,7900,Finance & Investments,Orlando Bravo,52,United States,Miami Beach,Private equity,Finance & Investments,United States,,TRUE,U,M,9/23/1970 0:00,Bravo,Orlando,,04-04-2023 05:01,Florida,South,1970,9,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
276,7800,Telecom,Rocco Commisso,73,United States,Saddle River,Telecom,Telecom,United States,,TRUE,U,M,11/25/1949 0:00,Commisso,Rocco,,04-04-2023 05:01,New Jersey,Northeast,1949,11,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
282,7700,Food & Beverage,Jean-Michel Besnier,55,France,Laval,Cheese,Food & Beverage,France,,FALSE,D,M,6/5/1967 0:00,Besnier,Jean-Michel,,04-04-2023 05:01,,,1967,6,5,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
290,7600,Energy,Cao Renxian,54,China,Hefei,Photovoltaic equipment,Energy,China,,TRUE,D,M,7/24/1968 0:00,Cao,Renxian,,04-04-2023 05:01,,,1968,7,24,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
299,7500,Sports,Arthur Blank,80,United States,Atlanta,Home Depot,Sports,United States,Atlanta Falcons,TRUE,U,M,9/27/1942 0:00,Blank,Arthur,Chairman,04-04-2023 05:01,Georgia,South,1942,9,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
305,7400,Technology,James Goodnight,80,United States,Cary,Software,Technology,United States,SAS Institute,TRUE,U,M,1/6/1943 4:00,Goodnight,James,CEO,04-04-2023 09:01,North Carolina,South,1943,1,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
312,7300,Manufacturing,Benu Gopal Bangur,91,India,Kolkata,Cement,Manufacturing,India,,FALSE,U,M,6/1/1931 0:00,Bangur,Benu Gopal,,04-04-2023 05:01,,,1931,6,1,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
317,7200,Finance & Investments,Arthur Dantchik,65,United States,Gladwyne,"Trading, investments",Finance & Investments,United States,,TRUE,N,M,11/25/1957 0:00,Dantchik,Arthur,,04-04-2023 05:01,Pennsylvania,Northeast,1957,11,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
325,7100,Technology,Judy Faulkner,79,United States,Madison,Healthcare software,Technology,United States,Epic Systems,TRUE,U,F,8/1/1943 0:00,Faulkner,Judy,Founder and CEO,04-04-2023 05:01,Wisconsin,Midwest,1943,8,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
332,7000,Technology,Marc Benioff,58,United States,San Francisco,Business software,Technology,United States,Salesforce.com,TRUE,D,M,9/25/1964 0:00,Benioff,Marc,Chairman and CEO,04-04-2023 05:01,California,West,1964,9,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
344,6900,Diversified,Alejandro Bailleres Gual & family,62,Mexico,,Diversified,Diversified,Mexico,,FALSE,U,M,1/1/1961 0:00,Bailleres Gual,Alejandro,,04-04-2023 05:01,,,1961,1,1,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
352,6800,Energy,Dannine Avara,59,United States,Houston,Pipelines,Energy,United States,,FALSE,U,F,3/9/1964 0:00,Avara,Dannine,,04-04-2023 05:01,Texas,South,1964,3,9,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
365,6700,Finance & Investments,Ken Fisher,72,United States,Dallas,Money management,Finance & Investments,United States,,TRUE,U,M,11/29/1950 0:00,Fisher,Ken,,04-04-2023 05:01,Texas,South,1950,11,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
383,6600,Manufacturing,Rahel Blocher,47,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,Switzerland,,FALSE,D,F,1/1/1976 0:00,Blocher,Rahel,,04-04-2023 05:01,,,1976,1,1,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
390,6500,Finance & Investments,David Bonderman,80,United States,Fort Worth,Private equity,Finance & Investments,United States,,TRUE,U,M,11/27/1942 0:00,Bonderman,David,,04-04-2023 05:01,Texas,South,1942,11,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
397,6400,Finance & Investments,Carl Bennet,71,Sweden,Gothenberg,Investments,Finance & Investments,Sweden,,TRUE,D,M,8/19/1951 0:00,Bennet,Carl,,04-04-2023 05:01,,,1951,8,19,110.51,1.8,"$530,832,908,738 ",67,126.6,82.5,27.9,49.1,10285453,60.128161,18.643501
405,6300,Construction & Engineering,Anthony Bamford & family,77,United Kingdom,Gloucestershire,Construction equipment,Construction & Engineering,United Kingdom,,FALSE,U,M,10/23/1945 0:00,Bamford,Anthony,,04-04-2023 05:01,,,1945,10,23,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
411,6200,Food & Beverage,Maria Asuncion Aramburuzabala & family,59,Mexico,Mexico City,"Beer, investments",Food & Beverage,Mexico,,FALSE,E,F,5/2/1963 0:00,Aramburuzabala,Maria Asuncion,,04-04-2023 05:01,,,1963,5,2,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
418,6100,Diversified,Mike Adenuga,69,Nigeria,Lagos,"Telecom, oil",Diversified,Nigeria,,TRUE,D,M,4/29/1953 0:00,Adenuga,Mike,,04-04-2023 05:01,,,1953,4,29,267.51,11.4,"$448,120,428,859 ",10.2,84.7,54.3,1.5,34.8,200963599,9.081999,8.675277
